"written_rep_a"	"lex_entry_a"	"sense_a"	"trans"	"sense_b"	"lex_entry_b"	"written_rep_b"	"POS"
"rightly"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/rightly-adv-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/rightly_acertadamente-adv-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/rightly_acertadamente-adv-en-sense-acertadamente_rightlyD-adv-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/acertadamente_rightlyD-adv-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/acertadamente-adv-es"	"acertadamente"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adverb"
"tackle"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/tackle-vblex-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/tackle_acometer-vblex-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/tackle_acometer-vblex-en-sense-acometer_tackleD-vblex-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/acometer_tackleD-vblex-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/acometer-vblex-es"	"acometer"	"http://www.lexinfo.net/ontology/2.0/lexinfo#verb"
"attachment"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/attachment-n-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/attachment_acoplamiento-n-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/attachment_acoplamiento-n-en-sense-acoplamiento_attachmentD-n-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/acoplamiento_attachmentD-n-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/acoplamiento-n-es"	"acoplamiento"	"http://www.lexinfo.net/ontology/2.0/lexinfo#noun"
"remind"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/remind-vblex-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/remind_acordar-vblex-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/remind_acordar-vblex-en-sense-acordar_remind-vblex-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/acordar_remind-vblex-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/acordar-vblex-es"	"acordar"	"http://www.lexinfo.net/ontology/2.0/lexinfo#verb"
"properly"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/properly-adv-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/properly_adecuadamente-adv-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/properly_adecuadamente-adv-en-sense-adecuadamente_properlyD-adv-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/adecuadamente_properlyD-adv-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/adecuadamente-adv-es"	"adecuadamente"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adverb"
"distressed"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/distressed-adj-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/distressed_afligidoD-adj-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/distressed_afligidoD-adj-en-sense-afligido_distressedD-adj-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/afligido_distressedD-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/afligido-adj-es"	"afligido"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"hastily"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/hastily-adv-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/hastily_alaligera-adv-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/hastily_alaligera-adv-en-sense-alaligera_hastily-adv-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/alaligera_hastily-adv-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/alaligera-adv-es"	"a la ligera"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adverb"
"lightly"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/lightly-adv-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/lightly_alaligera-adv-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/lightly_alaligera-adv-en-sense-alaligera_lightly-adv-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/alaligera_lightly-adv-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/alaligera-adv-es"	"a la ligera"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adverb"
"distressed"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/distressed-adj-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/distressed_angustiado-adj-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/distressed_angustiado-adj-en-sense-angustiado_distressedD-adj-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/angustiado_distressedD-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/angustiado-adj-es"	"angustiado"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"long for"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/longfor-vblex-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/longfor_anhelarD-vblex-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/longfor_anhelarD-vblex-en-sense-anhelar_longforD-vblex-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/anhelar_longforD-vblex-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/anhelar-vblex-es"	"anhelar"	"http://www.lexinfo.net/ontology/2.0/lexinfo#verb"
"lively"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/lively-adj-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/lively_animadoD-adj-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/lively_animadoD-adj-en-sense-animado_lively-adj-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/animado_lively-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/animado-adj-es"	"animado"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"note"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/note-vblex-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/note_anotar-vblex-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/note_anotar-vblex-en-sense-anotar_note-vblex-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/anotar_note-vblex-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/anotar-vblex-es"	"anotar"	"http://www.lexinfo.net/ontology/2.0/lexinfo#verb"
"long for"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/longfor-vblex-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/longfor_ansiar-vblex-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/longfor_ansiar-vblex-en-sense-ansiar_longforD-vblex-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/ansiar_longforD-vblex-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/ansiar-vblex-es"	"ansiar"	"http://www.lexinfo.net/ontology/2.0/lexinfo#verb"
"cancel"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/cancel-vblex-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/cancel_anular-vblex-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/cancel_anular-vblex-en-sense-anular_cancelD-vblex-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/anular_cancelD-vblex-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/anular-vblex-es"	"anular"	"http://www.lexinfo.net/ontology/2.0/lexinfo#verb"
"avert"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/avert-vblex-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/avert_apartar-vblex-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/avert_apartar-vblex-en-sense-apartar_avert-vblex-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/apartar_avert-vblex-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/apartar-vblex-es"	"apartar"	"http://www.lexinfo.net/ontology/2.0/lexinfo#verb"
"put aside"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/putaside-vblex-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/putaside_apartarD-vblex-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/putaside_apartarD-vblex-en-sense-apartar_putaside-vblex-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/apartar_putaside-vblex-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/apartar-vblex-es"	"apartar"	"http://www.lexinfo.net/ontology/2.0/lexinfo#verb"
"passionate"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/passionate-adj-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/passionate_ardiente-adj-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/passionate_ardiente-adj-en-sense-ardiente_passionateD-adj-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/ardiente_passionateD-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/ardiente-adj-es"	"ardiente"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"wardrobe"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/wardrobe-n-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/wardrobe_armarioD-n-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/wardrobe_armarioD-n-en-sense-armario_wardrobe-n-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/armario_wardrobe-n-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/armario-n-es"	"armario"	"http://www.lexinfo.net/ontology/2.0/lexinfo#noun"
"roast"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/roast-vblex-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/roast_asarD-vblex-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/roast_asarD-vblex-en-sense-asar_roastD-vblex-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/asar_roastD-vblex-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/asar-vblex-es"	"asar"	"http://www.lexinfo.net/ontology/2.0/lexinfo#verb"
"rise"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/rise-vblex-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/rise_ascender-vblex-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/rise_ascender-vblex-en-sense-ascender_riseD-vblex-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/ascender_riseD-vblex-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/ascender-vblex-es"	"ascender"	"http://www.lexinfo.net/ontology/2.0/lexinfo#verb"
"promotion"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/promotion-n-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/promotion_ascenso-n-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/promotion_ascenso-n-en-sense-ascenso_promotionD-n-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/ascenso_promotionD-n-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/ascenso-n-es"	"ascenso"	"http://www.lexinfo.net/ontology/2.0/lexinfo#noun"
"aghast"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/aghast-adj-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/aghast_aterrado-adj-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/aghast_aterrado-adj-en-sense-aterrado_aghast-adj-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/aterrado_aghast-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/aterrado-adj-es"	"aterrado"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"terrified"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/terrified-adj-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/terrified_aterrado-adj-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/terrified_aterrado-adj-en-sense-aterrado_terrifiedD-adj-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/aterrado_terrifiedD-adj-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/aterrado-adj-es"	"aterrado"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adjective"
"armed robbery"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/armedrobbery-n-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/armedrobbery_atracoamanoarmadaD-n-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/armedrobbery_atracoamanoarmadaD-n-en-sense-atracoamanoarmada_armedrobberyD-n-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/atracoamanoarmada_armedrobberyD-n-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/atracoamanoarmada-n-es"	"atraco a mano armada"	"http://www.lexinfo.net/ontology/2.0/lexinfo#noun"
"rise"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/rise-vblex-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/rise_aumentarD-vblex-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/rise_aumentarD-vblex-en-sense-aumentar_rise-vblex-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/aumentar_rise-vblex-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/aumentar-vblex-es"	"aumentar"	"http://www.lexinfo.net/ontology/2.0/lexinfo#verb"
"stewardess"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/stewardess-n-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/stewardess_auxiliarD-n-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/stewardess_auxiliarD-n-en-sense-auxiliar_stewardess-n-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/auxiliar_stewardess-n-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/auxiliar-n-es"	"auxiliar"	"http://www.lexinfo.net/ontology/2.0/lexinfo#noun"
"steward"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/steward-n-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/steward_auxiliarD-n-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/steward_auxiliarD-n-en-sense-auxiliar_steward-n-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/auxiliar_steward-n-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/auxiliar-n-es"	"auxiliar"	"http://www.lexinfo.net/ontology/2.0/lexinfo#noun"
"pretty much"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/prettymuch-adv-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/prettymuch_bastante-adv-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/prettymuch_bastante-adv-en-sense-bastante_prettymuch-adv-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/bastante_prettymuch-adv-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/bastante-adv-es"	"bastante"	"http://www.lexinfo.net/ontology/2.0/lexinfo#adverb"
"range"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/range-n-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/range_alcance-n-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/range_alcance-n-en-sense-alcance_range-n-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/alcance_range-n-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/alcance-n-es"	"alcance"	"http://www.lexinfo.net/ontology/2.0/lexinfo#noun"
"reach"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/reach-vblex-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/reach_alcanzar-vblex-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/reach_alcanzar-vblex-en-sense-alcanzar_reachD-vblex-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/alcanzar_reachD-vblex-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/alcanzar-vblex-es"	"alcanzar"	"http://www.lexinfo.net/ontology/2.0/lexinfo#verb"
"winger"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/winger-n-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/winger_alero-n-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/winger_alero-n-en-sense-alero_wingerD-n-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/alero_wingerD-n-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/alero-n-es"	"alero"	"http://www.lexinfo.net/ontology/2.0/lexinfo#noun"
"rug"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/rug-n-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/rug_alfombraD-n-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/rug_alfombraD-n-en-sense-alfombra_rug-n-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/alfombra_rug-n-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/alfombra-n-es"	"alfombra"	"http://www.lexinfo.net/ontology/2.0/lexinfo#noun"
"attachment"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/attachment-n-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/attachment_anexoD-n-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/attachment_anexoD-n-en-sense-anexo_attachment-n-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/anexo_attachment-n-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/anexo-n-es"	"anexo"	"http://www.lexinfo.net/ontology/2.0/lexinfo#noun"
"anxiety"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/anxiety-n-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/anxiety_angustia-n-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/anxiety_angustia-n-en-sense-angustia_anxietyD-n-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/angustia_anxietyD-n-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/angustia-n-es"	"angustia"	"http://www.lexinfo.net/ontology/2.0/lexinfo#noun"
"yearn for"	"http://linguistic.linkeddata.es/id/apertium/lexiconEN/yearnfor-vblex-en"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/yearnfor_ansiar-vblex-en-sense"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/yearnfor_ansiar-vblex-en-sense-ansiar_yearnfor-vblex-es-sense-trans"	"http://linguistic.linkeddata.es/id/apertium/tranSetEN-ES/ansiar_yearnfor-vblex-es-sense"	"http://linguistic.linkeddata.es/id/apertium/lexiconES/ansiar-vblex-es"	"ansiar"	"http://www.lexinfo.net/ontology/2.0/lexinfo#verb"
